SpecimenCode	Subfamily	Genus	Species	LifeStageSex	Medium	SpecimenNotes	DNANotes	LocatedAt	OwnedBy	TypeStatus	DeterminedBy	DateDetermined	CollectionCode	CollectedBy	DateCollectedStart	DateCollectedEnd	Method	Habitat	Microhabitat	CollectionNotes	LocalityName	Adm1	Adm2	Country	Elevation	ElevationMaxError	LocLatitude	LocLongitude	LatLonMaxError	Bioregion	LocalityNotes	LocalityCode	Created	uploadId
casent0000012	dolichoderinae	linepithema	humile	1 worker	Pin				CASC			2012-12-31	HJR2002	H.J. Ratsirarson	2003-07-26						West of Muir Woods	California	Marin	United States	111		37.89402	-122.5699		Nearctic		Muir_Woods_111	2024-08-16 02:48:21.0	1691	
casent0004263	dolichoderinae	linepithema	humile	3 workers	Pin			CalBug Project	CASC				ANTC1087	C. Quock	2002-07-21				understone		764 12th Avenue, San Francisco	California	San Francisco	United States	8		37.77389	-122.46889		Nearctic	coordinates obtained from GPS	San_Francisco_8	2024-08-16 02:47:55.0	1691	
casent0004264	dolichoderinae	linepithema	humile	2 workers	Pin			CalBug Project	CASC				ANTC1087	C. Quock	2002-07-21				understone		764 12th Avenue, San Francisco	California	San Francisco	United States	8		37.77389	-122.46889		Nearctic	coordinates obtained from GPS	San_Francisco_8	2024-08-16 02:47:55.0	1691	
casent0005323	dolichoderinae	linepithema	humile	3 workers	Pin				UCDC		B.L. Fisher	2000-11-10	PSW13364	P.S. Ward	1997-05-21			grassland	ground nest		Grasslands Regional Park, 8km SE Davis	California	Yolo	United States	10		38.5	-121.68333		Nearctic	coordinates obtained from GPS	Grasslands_Regional_Park_10	2024-08-16 02:44:20.0	1691	
casent0006018	dolichoderinae	linepithema	humile	1 worker	Pin				CASC			2000-11-10	BLF04229	B.L. Fisher | C.J. Thomas	2001-10-21			urban	ground nest		Davis	California	Yolo	United States	50		38.54556	-121.73806		Nearctic	coordinates obtained from NIMA	Davis_CA	2024-08-16 02:44:20.0	1691	
casent0006019	dolichoderinae	linepithema	humile	1 worker	Pin				CASC			2000-11-10	BLF04229	B.L. Fisher | C.J. Thomas	2001-10-21			urban	ground nest		Davis	California	Yolo	United States	50		38.54556	-121.73806		Nearctic	coordinates obtained from NIMA	Davis_CA	2024-08-16 02:44:20.0	1691	
casent0006020	dolichoderinae	linepithema	humile	1 worker	Pin				CASC			2000-11-10	BLF04229	B.L. Fisher | C.J. Thomas	2001-10-21			urban	ground nest		Davis	California	Yolo	United States	50		38.54556	-121.73806		Nearctic	coordinates obtained from NIMA	Davis_CA	2024-08-16 02:44:20.0	1691	
casent0006378	dolichoderinae	linepithema	humile	1 worker	Pin				UCDC				ANTC1380	R.O. Schuster	1959-02-24			abandoned prune orchard			Napa	California	Napa	United States	10		38.3	-122.23333		Nearctic	coordinates obtained from USGS or DeLorme CD	Napa_Bay_Area	2024-08-16 02:44:23.0	1691	
casent0006379	dolichoderinae	linepithema	humile	1 worker	Pin				UCDC				PSW08811	P.S. Ward	1987-04-19			riparian woodland	sifted litter		South Coyote	California	Santa Clara	United States	100		37.2	-121.7167		Nearctic	coordinates obtained from Label	South_Coyote_100_Bay_Area	2024-08-16 02:44:23.0	1691	
casent0006380	dolichoderinae	linepithema	humile	1 worker	Pin				UCDC				CDFA524570	Bradford	1988-08-10						Richmond	California	Contra Costa	United States	10		37.93333	-122.35		Nearctic	coordinates obtained from USGS or DeLorme CD	Richmond_Bay_Area_10	2024-08-16 02:44:23.0	1691	
casent0006381	dolichoderinae	linepithema	humile	1 worker	Pin				UCDC				CDFA524551	Bradford	1988-08-05						Hayward	California	Alameda	United States	30		37.66667	-122.08333		Nearctic	coordinates obtained from USGS or DeLorme CD	Hayward_Bay_Area	2024-08-16 02:44:23.0	1691	
casent0006382	dolichoderinae	linepithema	humile	1 worker	Pin				UCDC				DGB7	D.G. Black	1987-03-15			disturbed riparian woodland	ground forager(s)		North Sacramento	California	Sacramento	United States	20		38.6	-121.45		Nearctic	coordinates obtained from USGS or DeLorme CD	North_Sacramento_20_Bay_Area	2024-08-16 02:44:23.0	1691	
casent0006383	dolichoderinae	linepithema	humile	1 worker	Pin				UCDC				PSW12538	P.S. Ward	1994-04-10			Cupressus grove on serpentine	ground forager(s)		3km NW Camp Meeker	California	Sonoma	United States	120		38.45	-122.98333		Nearctic	coordinates obtained from Label	Camp_Meeker_120_Bay_Area	2024-08-16 02:44:23.0	1691	
casent0006384	dolichoderinae	linepithema	humile	1 worker	Pin				UCDC				PSW14071-02	P.S. Ward	1999-05-17			roadside edge	ground forager(s)		San Pedro Valley County Park	California	San Mateo	United States	60		37.58333	-122.46667		Nearctic	coordinates obtained from Label	San_Pedro_Valley_60_Bay_Area	2024-08-16 02:44:23.0	1691	
casent0006385	dolichoderinae	linepithema	humile	1 worker	Pin				UCDC				PSW14342	P.S. Ward	2001-05-30			riparian woodland	ground nest		Hamel Ranch, SE Davis	California	Solano	United States	10		38.53333	-121.73333		Nearctic	coordinates obtained from Label	Hamel_Ranch_10_Bay_Area	2024-08-16 02:44:23.0	1691	
casent0006386	dolichoderinae	linepithema	humile	1 dealate queen, 1 worker	Pin				UCDC				PSW11979	P.S. Ward	1993-03-19			roadside edge	under stone		Davis	California	Yolo	United States	15		38.54	-121.75667		Nearctic	coordinates obtained from Label; Davis Cemetery on Pole Line Road. Parkland, jus	Davis_15_Bay_Area	2024-08-16 02:44:23.0	1691	
casent0008199	dolichoderinae	linepithema	humile		Pin				CASC				BAAS_DE30	L.J. McCoy	2004-06-07		Bay Area Ant Survey (BAAS)		in the sun on a cement wall	Linepithema humile	White Hill Middle School, 101 Glen Drive, Fairfax 94930 (near Sir Francis Drake)	California	Marin	United States			38.00274	-122.60578		Nearctic		BAAS_DE30	2024-08-16 02:45:51.0	1691	
casent0008207	dolichoderinae	linepithema	humile		Pin				CASC				BAAS_JJ30	K.A. Carlson	2004-07-14		Bay Area Ant Survey (BAAS)	on south side of private residence, shaded area, jade plants growing in the dirt	crawling on concrete (on foundation almost in dirt)	Linepithema humile	18649 W. Cavendish Dr. Castro valley 94552	California	Alameda	United States			37.715546	-122.050735		Nearctic		BAAS_JJ30	2024-08-16 02:45:51.0	1691	
casent0008208	dolichoderinae	linepithema	humile		Pin				CASC				BAAS_EF54	D. Wong	2004-06-01		Bay Area Ant Survey (BAAS)	garden	barh on pine tree	Linepithema humile	1115 Crescent Ave.94110 (near Nevada Street)	California	San Francisco	United States			37.73472	-122.41216		Nearctic		BAAS_EF54	2024-08-16 02:45:51.0	1691	
